method,missed_stmt,covered_stmt,total_stmts
com.thoughtworks.xstream.core.util.Base64JavaUtilCodec.encode,1,0,1
com.thoughtworks.xstream.converters.extended.LocaleConverter.underscorePositions,5,0,5
com.thoughtworks.xstream.io.xml.XomDriver.createBuilder,2,0,2
com.thoughtworks.xstream.io.xml.XppDomReader.getChild,1,0,1
com.thoughtworks.xstream.mapper.AnnotationMapper.processConverterAnnotations,6,6,12
com.thoughtworks.xstream.converters.collections.TreeMapConverter.<init>,0,1,1
com.thoughtworks.xstream.core.util.ThreadSafeSimpleDateFormat.parse,0,4,4
com.thoughtworks.xstream.converters.extended.SubjectConverter.unmarshal,5,0,5
com.thoughtworks.xstream.io.xml.XomDriver.createReader,24,0,24
com.thoughtworks.xstream.annotations.AnnotationReflectionConverter.unmarshallField,6,0,6
com.thoughtworks.xstream.converters.time.ZonedDateTimeConverter.<clinit>, line 33,1,0,1
com.thoughtworks.xstream.converters.reflection.FieldDictionary.getKeyedByFieldName,0,1,1
com.thoughtworks.xstream.io.xml.SaxWriter.setErrorHandler,4,0,4
com.thoughtworks.xstream.io.xml.XomWriter.<init>,4,0,4
com.thoughtworks.xstream.converters.extended.FontConverter.canConvert,0,1,1
com.thoughtworks.xstream.core.util.CompositeClassLoader.addAll,0,4,4
com.thoughtworks.xstream.io.naming.StaticNameCoder.invertMap,5,0,5
com.thoughtworks.xstream.io.xml.AbstractDocumentWriter.flush,0,0,0
com.thoughtworks.xstream.XStream.ignoreUnknownElements,5,0,5
com.thoughtworks.xstream.security.RegExpTypePermission.getPatterns,1,5,6
com.thoughtworks.xstream.core.AbstractReferenceMarshaller.convert,3,11,14
com.thoughtworks.xstream.converters.extended.SubjectConverter.<init>,0,1,1
com.thoughtworks.xstream.converters.collections.PropertiesConverter.unmarshal,0,15,15
com.thoughtworks.xstream.converters.time.JapaneseEraConverter.canConvert,1,0,1
com.thoughtworks.xstream.core.AbstractReferenceMarshaller.getItem,1,0,1
com.thoughtworks.xstream.io.path.Path.apply,13,0,13
com.thoughtworks.xstream.core.util.Primitives.<clinit>, line 28,0,9,9
com.thoughtworks.xstream.core.util.PrioritizedList.iterator,0,1,1
com.thoughtworks.xstream.converters.extended.PropertyEditorCapableConverter.<init>,2,0,2
com.thoughtworks.xstream.io.xml.SaxWriter.close,0,0,0
com.thoughtworks.xstream.security.ExplicitTypePermission.getNames,1,5,6
com.thoughtworks.xstream.converters.collections.AbstractCollectionConverter.writeItem,1,5,6
com.thoughtworks.xstream.converters.time.LocalTimeConverter.fromString,5,0,5
com.thoughtworks.xstream.converters.reflection.ReflectionProviderWrapper.newInstance,1,0,1
com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter.create,4,0,4
com.thoughtworks.xstream.converters.extended.SqlTimestampConverter.fromString,13,0,13
com.thoughtworks.xstream.core.ClassLoaderReference.getReference,0,1,1
com.thoughtworks.xstream.core.TreeMarshaller.get,2,0,2
com.thoughtworks.xstream.io.xml.AbstractPullReader.getNodeName,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectInputStream.reset,1,0,1
com.thoughtworks.xstream.security.RegExpTypePermission.<init>,0,2,2
com.thoughtworks.xstream.core.util.CustomObjectInputStream.readInt,1,0,1
com.thoughtworks.xstream.converters.reflection.FieldKey.getOrder,1,0,1
com.thoughtworks.xstream.converters.collections.CharArrayConverter.marshal,0,2,2
com.thoughtworks.xstream.converters.basic.URIConverter.canConvert,0,1,1
com.thoughtworks.xstream.io.binary.Token.getId,0,1,1
com.thoughtworks.xstream.core.MapBackedDataHolder.get,1,0,1
com.thoughtworks.xstream.io.json.JettisonStaxWriter.endNode,8,0,8
com.thoughtworks.xstream.core.util.SerializationMembers.getRRMethod,3,9,12
com.thoughtworks.xstream.core.JVM.compare,9,36,45
com.thoughtworks.xstream.core.util.ClassLoaderReference.loadClass,1,0,1
com.thoughtworks.xstream.io.xml.TraxSource.configureXMLReader,7,0,7
com.thoughtworks.xstream.mapper.DynamicProxyMapper.getAlias,1,0,1
com.thoughtworks.xstream.converters.extended.FontConverter.unmarshal,25,0,25
com.thoughtworks.xstream.converters.time.ChronologyConverter.toString,1,0,1
com.thoughtworks.xstream.converters.extended.PathConverter.toString,7,0,7
com.thoughtworks.xstream.converters.extended.StackTraceElementFactory.unknownSourceElement,0,1,1
com.thoughtworks.xstream.io.path.Path.<init>,11,1,12
com.thoughtworks.xstream.core.util.XmlHeaderAwareReader.read,3,0,3
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.writeLong,1,0,1
com.thoughtworks.xstream.converters.visitSerializableProperties,17,0,17
com.thoughtworks.xstream.io.binary.BinaryStreamWriter.endNode,0,1,1
com.thoughtworks.xstream.XStream.allowTypes,1,1,2
com.thoughtworks.xstream.io.xml.Dom4JReader.getAttribute,2,0,2
com.thoughtworks.xstream.io.xml.AbstractXppDomDriver.<init>,1,0,1
com.thoughtworks.xstream.io.ExtendedHierarchicalStreamWriter.null,0,0,0
com.thoughtworks.xstream.io.xml.AbstractDocumentWriter.getTopLevelNodes,1,0,1
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.writeBoolean,1,0,1
com.thoughtworks.xstream.io.binary.ReaderDepthState.getName,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectInputStream.readLine,1,0,1
com.thoughtworks.xstream.core.util.XmlHeaderAwareReader.close,1,0,1
com.thoughtworks.xstream.converters.SingleValueConverterWrapper.toString,0,1,1
com.thoughtworks.xstream.security.NullPermission.allows,1,0,1
com.thoughtworks.xstream.converters.enums.EnumConverter.canConvert,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectInputStream.close,1,0,1
com.thoughtworks.xstream.io.path.Path.isAncestor,4,2,6
com.thoughtworks.xstream.io.xml.xppdom.Xpp3Dom.<init>,1,0,1
com.thoughtworks.xstream.converters.extended.NamedCollectionConverter.writeItem,9,0,9
com.thoughtworks.xstream.io.xml.AbstractPullReader.getValue,4,16,20
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter.FieldInfo,0,3,3
com.thoughtworks.xstream.mapper.AnnotationMapper.cacheConverter,48,0,48
com.thoughtworks.xstream.converters.reflection.SerializableConverter.defaultReadObject,21,0,21
com.thoughtworks.xstream.converters.ErrorWritingException.get,0,1,1
com.thoughtworks.xstream.io.json.JsonHierarchicalStreamDriver.createReader,4,0,4
com.thoughtworks.xstream.io.xml.TraxSource.setSourceAsList,4,0,4
com.thoughtworks.xstream.core.MapBackedDataHolder.keys,1,0,1
com.thoughtworks.xstream.core.ReferenceByXPathMarshaller.<init>,0,2,2
